States / Union Territories,All Categories - Classes I-V - Boys_2008,All Categories - Classes I-V - Girls_2008,All Categories - Classes I-V - Total_2008,All Categories - Classes I-VIII - Boys_2008,All Categories - Classes I-VIII - Girls_2008,All Categories - Classes I-VIII - Total_2008,All Categories - Classes I-X - Boys_2008,All Categories - Classes I-X - Girls_2008,All Categories - Classes I-X - Total_2008,Scheduled Caste - Classes I-V - Boys_2008,Scheduled Caste - Classes I-V - Girls_2008,Scheduled Caste - Classes I-V - Total_2008,Scheduled Caste - Classes I-VIII - Boys_2008,Scheduled Caste - Classes I-VIII - Girls_2008,Scheduled Caste - Classes I-VIII - Total_2008,Scheduled Caste - Classes I-X - Boys_2008,Scheduled Caste - Classes I-X - Girls_2008,Scheduled Caste - Classes I-X - Total_2008,Scheduled Tribe - Classes I-V - Boys_2008,Scheduled Tribe - Classes I-V - Girls_2008,Scheduled Tribe - Classes I-V - Total_2008,Scheduled Tribe - Classes I-VIII - Boys_2008,Scheduled Tribe - Classes I-VIII - Girls_2008,Scheduled Tribe - Classes I-VIII - Total_2008,Scheduled Tribe - Classes I-X - Boys_2008,Scheduled Tribe - Classes I-X - Girls_2008,Scheduled Tribe - Classes I-X - Total_2008,All Categories - Classes I-V - Boys_2009,All Categories - Classes I-V - Girls_2009,All Categories - Classes I-V - Total_2009,All Categories - Classes I-VIII - Boys_2009,All Categories - Classes I-VIII - Girls_2009,All Categories - Classes I-VIII - Total_2009,All Categories - Classes I-X - Boys_2009,All Categories - Classes I-X - Girls_2009,All Categories - Classes I-X - Total_2009,Scheduled Caste - Classes I-V - Boys_2009,Scheduled Caste - Classes I-V - Girls_2009,Scheduled Caste - Classes I-V - Total_2009,Scheduled Caste - Classes I-VIII - Boys_2009,Scheduled Caste - Classes I-VIII - Girls_2009,Scheduled Caste - Classes I-VIII - Total_2009,Scheduled Caste - Classes I-X - Boys_2009,Scheduled Caste - Classes I-X - Girls_2009,Scheduled Caste - Classes I-X - Total_2009,Scheduled Tribe - Classes I-V - Boys_2009,Scheduled Tribe - Classes I-V - Girls_2009,Scheduled Tribe - Classes I-V - Total_2009,Scheduled Tribe - Classes I-VIII - Boys_2009,Scheduled Tribe - Classes I-VIII - Girls_2009,Scheduled Tribe - Classes I-VIII - Total_2009,Scheduled Tribe - Classes I-X - Boys_2009,Scheduled Tribe - Classes I-X - Girls_2009,Scheduled Tribe - Classes I-X - Total_2009,All Categories - Classes I-V - Boys_2010,All Categories - Classes I-V - Girls_2010,All Categories - Classes I-V - Total_2010,All Categories - Classes I-VIII - Boys_2010,All Categories - Classes I-VIII - Girls_2010,All Categories - Classes I-VIII - Total_2010,All Categories - Classes I-X - Boys_2010,All Categories - Classes I-X - Girls_2010,All Categories - Classes I-X - Total_2010,Scheduled Caste - Classes I-V - Boys_2010,Scheduled Caste - Classes I-V - Girls_2010,Scheduled Caste - Classes I-V - Total_2010,Scheduled Caste - Classes I-VIII - Boys_2010,Scheduled Caste - Classes I-VIII - Girls_2010,Scheduled Caste - Classes I-VIII - Total_2010,Scheduled Caste - Classes I-X - Boys_2010,Scheduled Caste - Classes I-X - Girls_2010,Scheduled Caste - Classes I-X - Total_2010,Scheduled Tribe - Classes I-V - Boys_2010,Scheduled Tribe - Classes I-V - Girls_2010,Scheduled Tribe - Classes I-V - Total_2010,Scheduled Tribe - Classes I-VIII - Boys_2010,Scheduled Tribe - Classes I-VIII - Girls_2010,Scheduled Tribe - Classes I-VIII - Total_2010,Scheduled Tribe - Classes I-X - Boys_2010,Scheduled Tribe - Classes I-X - Girls_2010,Scheduled Tribe - Classes I-X - Total_2010,All Categories - Classes I-V - Boys_2011,All Categories - Classes I-V - Girls_2011,All Categories - Classes I-V - Total_2011,All Categories - Classes I-VIII - Boys_2011,All Categories - Classes I-VIII - Girls_2011,All Categories - Classes I-VIII - Total_2011,All Categories - Classes I-X - Boys_2011,All Categories - Classes I-X - Girls_2011,All Categories - Classes I-X - Total_2011,Scheduled Caste - Classes I-V - Boys_2011,Scheduled Caste - Classes I-V - Girls_2011,Scheduled Caste - Classes I-V - Total_2011,Scheduled Caste - Classes I-VIII - Boys_2011,Scheduled Caste - Classes I-VIII - Girls_2011,Scheduled Caste - Classes I-VIII - Total_2011,Scheduled Caste - Classes I-X - Boys_2011,Scheduled Caste - Classes I-X - Girls_2011,Scheduled Caste - Classes I-X - Total_2011,Scheduled Tribe - Classes I-V - Boys_2011,Scheduled Tribe - Classes I-V - Girls_2011,Scheduled Tribe - Classes I-V - Total_2011,Scheduled Tribe - Classes I-VIII - Boys_2011,Scheduled Tribe - Classes I-VIII - Girls_2011,Scheduled Tribe - Classes I-VIII - Total_2011,Scheduled Tribe - Classes I-X - Boys_2011,Scheduled Tribe - Classes I-X - Girls_2011,Scheduled Tribe - Classes I-X - Total_2011
Andhra Pradesh,16.03,15.05,15.55,39.97,41.35,40.65,60.12,61.38,60.73,21.1,19.24,20.19,42.58,45.14,43.85,65.52,66.94,66.22,37.22,42.45,39.78,66.47,70.24,68.3,80.86,82.77,81.77,16.34,15.24,15.8,40.9,41.68,41.29,52.73,54.02,53.36,19.21,17.69,18.46,43.2,44.36,43.77,57.54,58.77,58.15,34.51,39.64,37.03,64.1,69.36,66.74,75.5,78.07,76.75,15.9,15.3,15.6,28.6,27.7,28.2,45.5,46.3,45.9,15.2,14.7,15.0,32.4,31.1,31.8,49.1,48.4,48.7,32.9,36.6,34.7,54.4,58.2,56.3,69.9,73.5,71.7,18.09984693,16.73136737,17.43023498,32.96782566,32.73661611,32.8544349,45.84976637,46.60510834,46.22306421,20.21792496,18.97539665,19.60537876,36.08349719,35.61699071,35.85424981,49.69027796,49.67399545,49.68221929,35.5313651,38.21976871,36.84612429,60.52794209,64.52585654,62.48943212,71.62708973,73.77168795,72.6714742
Arunachal Pradesh,41.8,39.71,40.84,44.87,43.31,44.16,63.39,62.43,62.95,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.32,39.36,41.51,48.91,47.59,48.3,66.32,65.9,66.13,43.14,39.23,41.35,48.49,45.13,46.96,65.0,64.7,64.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.31,38.14,41.49,53.02,48.09,50.77,66.14,65.21,65.72,32.5,29.0,30.9,52.4,47.1,50.0,62.4,60.3,61.4,61.15,61.15,61.15,100.0,100.0,100.0,100.0,100.0,100.0,36.1,32.1,34.2,53.4,46.6,50.3,65.1,60.6,63.1,43.84305706,42.11245326,43.02872416,51.67073261,49.07753783,50.46462889,62.26446767,61.04510673,61.71011375,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.61055978,42.69770561,43.70611949,54.37459494,48.36080099,51.62214772,63.63636364,63.33849329,63.49949618
Assam,78.67,78.67,78.67,68.21,68.35,68.28,78.47,79.55,78.97,78.67,78.67,78.67,78.67,78.67,78.67,83.98,83.76,83.88,78.67,78.67,78.67,78.67,78.67,78.67,84.47,82.46,83.63,38.99,32.67,35.89,59.94,62.55,61.21,77.41,77.82,77.6,29.42,24.36,26.95,51.77,56.15,53.87,81.67,82.49,82.04,34.63,31.41,33.04,61.78,67.43,64.55,85.61,79.53,83.08,35.6,28.7,32.2,46.4,54.1,50.2,74.1,70.7,72.4,26.4,21.6,24.0,36.9,47.2,42.0,70.4,65.8,68.2,33.1,29.4,31.3,45.4,53.0,49.2,70.5,69.0,69.8,33.16885432,26.41901564,29.85230414,49.75141243,58.20834203,53.97060689,76.82974205,78.05312887,77.39807662,28.81723498,23.38178207,26.1717148,39.39194941,48.77556173,43.99628368,44.35,44.35,44.35,26.84961917,24.50933277,25.68209063,49.68035812,57.14739467,53.39329711,44.35,44.35,44.35
Bihar,47.79,47.2,47.54,60.16,55.41,58.33,74.46,74.41,74.44,50.45,49.48,50.07,72.86,73.5,73.11,85.91,84.79,85.53,30.86,29.24,30.25,66.55,58.63,63.81,81.06,74.25,79.05,43.51,40.97,42.45,64.98,67.33,66.02,71.0,65.58,69.05,50.92,49.7,50.43,77.93,79.12,78.42,81.71,81.99,81.81,8.09,15.64,10.93,40.71,56.95,47.18,65.79,63.26,64.94,38.0,30.7,34.8,58.6,51.1,55.5,70.8,71.9,71.3,36.7,30.5,34.1,67.2,60.5,64.6,80.5,81.1,80.7,14.4,51.25,3.1,43.5,22.7,35.7,65.8,63.7,65.0,39.23442696,30.73383788,35.70721468,58.54490952,57.97789823,58.2904716,64.38212064,58.85541524,62.24826558,40.8959455,35.85475608,38.84165844,64.0214977,58.58179335,61.93091148,79.75014429,79.90400315,79.80870552,31.60005469,19.81251395,27.12242822,59.14422114,47.00557836,54.7869125,72.17437746,68.97073663,71.06561313
Chhattisgarh,26.16,26.91,26.52,37.86,37.19,37.54,56.25,56.06,56.17,29.84,28.2,29.06,40.52,43.73,42.04,64.69,70.39,67.34,37.68,37.87,37.77,52.66,54.03,53.3,70.91,71.18,71.03,40.85,24.94,34.12,38.98,42.43,40.67,62.83,65.8,64.22,37.49,33.18,35.48,42.67,49.93,46.23,68.0,72.81,70.23,38.92,39.53,39.21,49.38,52.93,51.12,72.55,70.32,71.57,28.8,29.8,29.3,43.6,43.8,43.7,50.2,51.4,50.8,29.8,25.6,27.8,45.4,45.1,45.2,55.4,56.4,55.9,37.7,34.6,36.3,53.2,55.7,54.4,53.5,53.7,53.6,29.73178041,32.24560982,30.96078705,47.65992404,48.97136464,48.29486272,58.35391211,57.52063828,57.96123621,42.27796223,47.04283582,44.67978363,50.29761905,46.86433097,48.74733102,57.60137318,60.50760582,58.97235899,38.44350813,42.13001726,40.26119483,45.38904899,49.54087304,47.4141034,63.26259203,62.01652475,62.67645374
Goa,42.27,42.27,42.27,42.27,42.27,42.27,36.2,32.93,34.61,42.27,42.27,42.27,3.61,42.27,42.27,67.44,58.16,62.95,42.27,42.27,42.27,42.27,42.27,42.27,42.27,42.27,42.27,34.23,34.23,34.23,34.23,34.23,34.23,35.85,32.63,34.3,18.46,10.75,14.98,7.58,26.31,16.79,77.89,64.02,71.21,34.23,34.23,34.23,34.23,34.23,34.23,34.23,34.23,34.23,4.0,5.5,4.7,3.6,6.7,5.1,15.8,17.4,16.6,19.3,24.3,21.8,11.6,24.6,18.6,49.3,52.7,51.0,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,28.18,2.415949961,28.18,28.18,28.18,28.18,29.33702135,26.86278126,28.1399188,9.831460674,20.92307692,15.12481645,28.18,28.18,28.18,53.41365462,45.95744681,49.79338843,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18
Gujarat,39.11,3.3,25.87,46.36,40.75,44.29,56.24,62.25,58.84,46.38,47.57,46.94,42.41,56.11,48.83,60.48,70.29,65.05,53.22,51.8,52.58,64.33,66.42,65.28,73.3,74.82,73.99,36.89,6.52,25.66,32.24,48.08,39.7,60.37,64.41,62.14,47.39,42.68,45.18,17.87,35.58,26.23,54.56,64.63,59.29,50.89,44.52,48.0,50.46,58.25,54.21,74.11,74.92,74.48,38.1,8.3,27.1,50.2,40.8,46.7,49.5,59.3,54.1,25.8,19.1,22.6,48.0,58.5,52.9,39.1,52.6,45.5,48.6,41.9,45.6,69.4,71.2,70.2,65.3,68.0,66.6,36.92972628,6.578073543,25.70345538,44.62612653,49.40068481,46.69383626,61.11790772,52.37349729,57.89346582,47.42006716,42.7154674,45.21602045,47.94178414,58.50752912,52.89166591,60.39322531,69.26243517,64.54829007,50.92207707,44.55615384,48.03445303,69.39735828,71.17977752,70.20586873,79.70299486,75.16085551,77.64267557
Haryana,10.51,25.16,5.2,20.6,1.5,11.93,36.31,23.77,30.5,25.16,25.16,25.16,9.03,35.85,21.78,47.01,49.88,48.36,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16,31.55,31.55,31.55,19.59,8.1,14.37,20.17,19.46,19.84,31.55,31.55,31.55,4.87,6.15,5.47,19.55,17.21,18.45,31.55,31.55,31.55,100.0,100.0,100.0,31.55,31.55,31.55,7.2,7.0,7.1,2.5,26.62,1.2,23.6,18.5,21.3,9.3,8.8,9.1,10.4,3.9,7.4,32.1,31.3,31.8,26.62,26.62,26.62,26.62,26.62,26.62,100.0,100.0,100.0,9.82466237,8.947319314,9.418113166,5.263157895,3.854873068,4.608727043,13.15765466,7.098402942,10.40738748,3.372370901,0.917720993,2.21455458,15.33707865,10.38323248,13.00466576,21.86150154,22.07843805,21.96462135,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21,10.21
Himachal Pradesh,2.25,3.61,2.9,16.19,0.89,16.19,17.63,21.93,19.73,16.19,14.96,16.19,17.76,19.48,18.61,35.76,43.54,39.56,2.31,4.83,3.52,16.19,16.19,16.19,5.44,31.05,18.05,0.35,1.17,0.74,1.42,3.41,2.38,22.28,18.93,20.65,4.72,5.75,5.22,9.81,12.21,10.98,40.97,40.44,40.71,12.81,12.81,12.81,12.81,12.81,12.81,12.67,12.81,1.39,3.1,4.3,3.7,9.08,3.4,1.6,7.3,7.0,7.1,7.1,7.0,7.1,8.9,11.2,10.0,24.6,24.1,24.3,9.08,1.6,9.08,9.08,9.08,9.08,9.08,9.08,9.08,3.877469109,3.629725783,3.761264004,11.07,11.07,11.07,15.17048393,17.00015778,16.0494763,6.81007187,7.778191291,7.280524983,6.153511633,10.49134948,8.25833893,32.11508895,32.98688331,32.54386357,0.02739726,11.07,11.07,11.07,11.07,11.07,0.258918297,4.059579439,2.144927536
Jammu and Kashmir,1.97,2.41,2.18,28.51,20.94,25.24,42.7,38.01,40.65,39.78,39.78,39.78,39.78,39.78,39.78,51.37,51.0,51.19,47.75,46.95,47.4,39.78,39.78,39.78,72.81,72.3,72.62,9.79,6.82,8.38,23.75,19.79,21.95,47.16,40.63,44.3,39.49,39.49,39.49,34.89,19.68,27.89,48.99,50.56,49.73,27.94,31.88,29.77,58.02,67.64,62.26,71.61,72.4,71.91,9.8,6.8,8.4,9.6,13.8,11.6,45.5,42.6,44.2,40.8,40.8,40.8,4.4,40.8,40.8,60.2,59.2,59.7,27.9,31.9,29.8,57.4,67.2,61.7,79.5,84.6,81.7,9.788870296,6.816791771,8.383959749,7.792737658,3.992283008,6.05585315,47.1417825,38.93044902,43.59866867,26.7,26.7,26.7,16.62919243,2.683028286,10.01971414,26.7,26.7,26.7,27.94102269,31.88353048,29.76608351,58.49555061,67.99058547,62.67921495,26.7,26.7,26.7
Jharkhand,22.37,18.76,20.7,55.83,65.82,60.25,80.14,82.32,81.1,23.1,19.14,21.38,68.17,70.91,69.31,85.43,85.3,85.39,33.59,31.12,32.47,77.74,79.19,78.39,86.29,86.75,86.47,33.34,28.2,30.92,53.87,50.61,52.37,78.46,74.97,77.01,32.29,23.96,28.56,58.29,56.43,57.47,78.71,76.36,77.75,38.8,30.56,35.09,63.32,59.22,61.48,84.33,82.9,83.7,42.6,43.2,42.9,54.2,49.5,52.0,70.9,70.6,70.7,45.7,47.9,46.8,54.8,48.9,52.2,76.7,76.3,76.5,48.5,50.4,49.4,63.9,58.4,61.4,79.3,77.0,78.3,31.02613239,25.57768316,28.4330885,48.42450875,41.19631127,45.13891615,70.60465099,68.11943893,69.50354163,42.03915678,38.97338221,40.58532777,44.54350875,35.79152633,40.79433653,73.71878354,70.20951154,72.26041719,39.63970119,35.02192698,37.48122991,60.47398665,49.41420999,55.76880871,80.80420911,78.51041092,79.77753676
Karnataka,4.92,3.45,4.21,30.29,30.11,30.2,50.36,49.15,49.79,8.25,5.92,7.14,37.76,44.86,41.27,54.84,57.9,56.33,4.77,6.03,5.38,28.61,32.47,30.47,45.26,51.14,48.13,11.6,10.61,11.12,25.05,26.73,25.86,46.89,46.33,46.62,17.04,15.41,16.26,32.63,37.54,35.02,54.68,58.61,56.63,10.32,22.54,16.67,26.82,31.37,29.03,50.44,50.73,50.58,4.3,4.2,4.3,13.0,13.8,13.4,37.9,36.6,37.3,8.4,8.3,8.3,21.3,24.1,22.6,48.6,50.3,49.4,1.1,1.2,1.2,18.5,23.5,20.9,45.6,48.1,46.8,9.189963739,8.514227046,8.864651763,20.1458128,21.47846253,20.78893605,44.50921988,42.06349567,43.34124926,14.37907447,14.31235753,14.34692893,28.04104344,31.82941485,29.87722587,54.08153664,57.06532954,55.55615988,6.914938106,6.852171573,6.884649925,24.23204814,29.70621852,26.87736524,47.51050578,48.32937482,47.90554056
Kerala,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,13.24,5.29,9.36,18.1,18.1,18.1,8.31,11.64,9.96,38.43,31.55,35.08,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,17.45,8.26,3.15,5.75,17.45,17.45,17.45,27.47,23.6,25.61,27.03,15.01,21.19,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,16.98,6.0,2.2,4.1,16.98,16.98,16.98,16.98,16.98,16.98,34.3,25.3,30.0,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,14.69,9.331343055,2.919297117,6.204408189,14.69,14.69,14.69,9.08680947,8.453939812,8.773327264,31.16629464,27.09163347,29.14905607
Madhya Pradesh,21.02,19.23,20.18,30.89,29.53,30.27,53.59,62.84,57.64,20.0,16.79,18.49,32.79,34.75,33.65,44.44,63.03,52.5,32.46,24.75,28.88,37.84,40.48,39.03,68.67,76.39,71.95,34.13,31.11,32.7,23.73,25.16,24.41,47.26,60.61,53.3,37.06,29.16,33.32,34.36,34.64,34.49,41.91,62.33,50.75,40.81,32.08,36.64,45.47,45.29,45.39,66.44,75.09,70.09,31.2,23.1,27.4,46.4,43.3,44.9,32.0,53.7,42.3,7.4,4.9,6.1,47.7,42.7,45.4,33.5,49.4,41.0,31.7,23.5,27.8,61.4,57.3,59.5,55.4,71.7,63.0,33.4601394,25.01963056,29.49375192,33.9568648,26.95688231,30.73078406,44.26401158,59.32208534,51.13478942,32.85105898,24.46808027,28.89388532,19.48356514,14.55521201,17.12438628,32.12271947,57.24459477,43.20033275,40.62033403,33.32069913,37.10572266,38.57509749,33.38037395,36.13397431,58.6539791,71.8690978,64.62228769
