Maharashtra,19.53,22.93,21.16,25.44,28.64,26.97,41.22,46.48,43.75,20.74,22.96,21.81,26.49,30.8,28.57,38.26,45.55,41.78,32.1,34.31,33.15,46.51,51.66,48.95,65.74,75.07,70.15,20.19,22.54,21.31,24.36,27.55,25.88,38.63,42.62,40.54,22.6,23.06,22.82,24.17,27.99,26.01,37.6,43.79,40.59,24.34,23.07,23.75,46.52,51.83,49.05,65.75,74.23,69.73,9.0,10.2,9.5,24.3,29.0,26.5,35.9,38.8,37.3,11.9,12.4,12.2,27.3,31.3,29.2,33.2,39.3,36.1,24.3,26.5,25.3,44.0,47.8,45.8,52.1,55.1,53.5,21.42405137,19.02415915,20.31608827,24.49650208,27.43889267,25.89990546,36.49838071,40.02884341,38.18454987,24.88462221,20.23441408,22.72456038,21.74500332,24.23280162,22.94262044,35.31944567,41.50173591,38.31059385,23.7331905,17.90646997,21.11953025,42.34270712,46.75638545,44.44307528,65.66633613,74.48411875,69.84619018
Manipur,39.55,45.19,42.31,42.92,44.94,43.9,58.91,57.06,58.03,34.5,36.55,35.47,44.32,44.32,44.32,8.61,4.6,6.58,51.24,53.13,52.15,44.32,44.32,44.32,70.8,72.58,71.66,33.05,40.08,36.48,57.65,56.59,57.13,57.82,55.71,56.79,36.86,37.82,37.32,43.95,45.58,44.73,11.64,9.66,10.68,55.49,60.43,57.86,76.81,80.13,78.39,67.69,72.55,70.02,45.1,44.5,44.8,54.5,52.9,53.7,72.0,70.3,71.1,26.8,13.3,20.5,31.8,16.8,24.7,63.1,63.7,63.4,35.9,33.5,34.8,56.1,53.3,54.7,80.2,78.2,79.2,46.08048647,45.28961878,45.69403403,51.72755418,53.89845095,52.79047719,45.74248229,44.78718671,45.2797433,29.55202312,28.91566265,29.25066565,51.35734072,41.75891759,46.80851064,49.43,49.43,49.43,47.52040768,55.36726048,51.28972146,74.26270541,75.72549952,74.96164119,49.43,49.43,49.43
Meghalaya,52.53,51.05,51.79,70.44,65.9,68.19,78.36,76.15,77.26,66.48,57.14,62.23,79.0,79.49,79.25,81.0,87.33,84.14,55.2,51.0,53.11,80.4,75.33,77.92,79.68,75.68,77.69,57.25,53.08,55.22,75.77,72.11,73.94,78.4,76.25,77.33,15.06,20.69,17.64,72.12,73.83,72.95,75.8,80.11,77.94,53.57,47.99,50.86,76.63,73.24,74.93,79.31,76.19,77.76,65.6,60.0,62.9,69.8,66.1,68.0,76.6,72.4,74.5,20.5,18.9,19.8,41.1,35.1,38.4,66.3,70.2,68.2,61.1,54.0,57.7,66.4,61.6,64.0,77.7,73.5,75.6,60.96797124,55.70018298,58.41518971,72.53464819,68.31017857,70.43133516,78.03895473,76.70557859,77.37592564,15.53571429,20.21276596,17.66990291,69.39393939,72.19959267,70.79107505,76.19047619,80.37486218,78.26324413,57.50253964,51.51627371,54.60590937,75.65231983,71.98898715,73.81551977,81.27092126,77.80459071,79.5754489
Mizoram,31.75,35.22,33.43,46.41,46.79,46.6,70.16,66.45,68.41,95.16,95.92,95.5,53.74,53.74,53.74,52.7,66.67,59.12,31.74,35.3,33.47,53.74,13.88,4.82,70.71,66.89,68.91,25.32,28.44,26.83,43.35,39.59,41.57,51.24,45.27,48.44,98.94,98.82,98.88,99.3,98.99,99.17,99.07,99.04,99.05,27.18,30.05,28.57,43.73,39.88,41.9,51.94,45.75,49.03,41.5,40.0,40.8,39.3,39.9,39.6,48.4,40.2,44.5,48.58,48.58,48.58,38.7,40.8,39.6,77.5,81.0,78.9,60.8,59.4,60.2,39.9,40.6,40.2,48.7,40.5,44.8,37.105112,38.73883867,37.8973697,37.52648929,35.74161459,36.66972758,54.99712258,52.34260615,53.69639654,43.38,43.38,43.38,50.0,43.38,43.38,43.38,43.38,43.38,37.574011,39.243604,38.38392014,38.23061044,36.46179402,37.38154384,55.47121261,52.62840688,54.0783516
Nagaland,40.65,40.42,40.54,47.13,47.3,47.22,68.34,66.84,67.61,49.35,49.35,49.35,49.35,49.35,49.35,49.35,49.35,49.35,35.27,35.77,35.51,39.71,36.33,38.13,69.2,65.08,67.28,40.1,39.78,39.95,32.55,30.52,31.58,75.69,73.97,74.86,55.31,55.31,55.31,100.0,100.0,100.0,55.31,55.31,55.31,40.52,39.01,39.82,33.17,32.64,32.92,70.05,66.09,68.21,38.5,38.6,38.5,48.6,46.7,47.7,55.5,51.6,53.6,55.46,55.46,55.46,55.46,55.46,55.46,100.0,100.0,100.0,38.9,39.4,39.2,44.1,42.7,43.5,67.1,64.6,65.9,40.09680077,39.77850262,39.94558362,45.22032179,45.61047513,45.41003444,75.82444483,74.38608205,75.12645582,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,51.61,40.52207238,39.00556155,39.81604931,43.42456476,38.35120391,41.09781085,70.3150208,66.52904605,68.54922749
Odisha,33.33,32.89,33.12,59.07,53.98,56.92,68.29,65.76,67.18,26.3,24.97,25.65,72.5,67.72,70.56,77.23,76.89,77.08,35.08,35.35,35.21,83.37,83.92,83.61,86.19,85.19,85.78,26.71,26.18,26.45,53.13,55.56,54.3,69.98,65.91,68.19,20.67,17.49,19.13,60.21,63.59,61.86,77.66,73.32,75.83,31.74,32.04,31.89,71.16,74.91,72.94,86.08,85.13,85.68,17.4,13.5,15.5,55.8,58.3,57.0,62.3,61.6,61.9,17.3,15.3,16.3,55.0,56.5,55.7,69.9,69.3,69.6,26.9,30.1,28.5,72.2,73.4,72.7,77.0,77.0,77.0,11.03680423,2.40500723,7.023292273,54.42561087,55.58741418,54.97994953,67.15902579,59.68251473,64.0061309,16.56704543,14.82108626,15.71288645,58.31064772,59.79029856,59.01613548,77.66,71.37758621,75.11188811,25.17778736,18.56082637,22.1023569,73.99321596,75.25917163,74.59239013,86.41578947,84.54648649,85.61527778
Punjab,35.48,35.48,35.48,35.48,35.48,35.48,43.16,43.24,43.2,13.17,16.92,14.96,21.33,23.48,22.36,60.93,61.69,61.28,35.48,35.48,35.48,35.48,35.48,35.48,35.48,35.48,35.48,7.6,14.15,10.67,3.57,7.36,5.33,41.23,39.45,40.42,17.71,19.28,18.46,28.47,28.55,28.5,63.3,59.68,61.63,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.52,27.52,26.25,7.0,26.25,26.25,26.25,26.25,26.25,2.2,26.25,22.4,28.1,25.2,25.0,28.5,26.7,42.2,40.2,41.2,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,4.374304704,14.92820726,9.413705218,5.170198392,13.66619796,9.167847307,30.20012596,30.74197359,30.45342229,21.74148542,22.98052844,22.33305354,25.47,25.47,25.47,57.27689326,53.95791534,55.68987925,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47
Rajasthan,49.33,52.01,50.57,59.32,57.89,58.77,69.9,74.5,71.69,50.0,51.54,50.7,60.65,68.73,64.16,71.73,79.8,75.09,50.14,54.55,52.2,62.91,70.63,66.3,68.0,74.84,70.76,49.11,52.11,50.51,41.19,59.68,50.32,70.52,73.42,71.64,49.65,52.28,50.87,54.1,68.83,61.36,73.65,81.74,77.15,48.49,52.61,50.42,44.73,64.92,54.8,73.56,79.43,76.1,43.2,43.4,43.3,55.3,58.5,56.7,54.3,69.4,61.7,42.6,43.0,42.8,56.8,58.5,57.6,65.1,78.1,71.6,38.4,40.7,39.5,59.0,63.4,61.1,57.5,70.0,63.7,49.92088042,51.45259177,50.63516837,49.20582793,58.09467609,53.32181565,68.19168089,69.04893144,68.52387452,49.755755,51.43586771,50.53962093,55.07790368,62.85841528,58.64848935,71.54716013,78.36679716,74.51152424,47.75190815,51.22515363,49.37518454,59.54503463,68.88421291,63.9984201,78.18902159,80.74031722,79.30729622
Sikkim,41.97,31.55,36.95,52.99,39.41,46.41,81.99,82.53,82.26,59.29,43.64,52.0,51.59,46.72,49.23,87.74,85.8,86.87,43.11,31.27,37.36,28.47,54.02,14.53,66.41,60.77,63.7,24.57,11.98,18.58,50.98,38.15,44.67,82.07,79.36,80.73,30.88,24.5,27.91,66.53,56.52,61.74,85.81,83.19,84.55,30.21,12.07,21.52,22.18,48.29,7.93,73.66,65.5,69.63,14.7,2.9,9.1,54.8,42.4,48.8,61.5,53.1,57.4,26.0,17.4,22.0,71.2,56.0,64.1,72.8,70.5,71.7,20.8,41.73,10.6,56.2,39.6,48.2,39.9,22.1,31.2,14.94105038,45.72,6.797984944,47.83586284,29.55743533,39.0921886,63.67205025,56.51240458,60.20231214,34.56284153,28.75,31.85131195,71.5261959,61.52815013,66.93349754,75.3271028,73.1610338,74.27745665,26.19047619,11.08688882,18.80992239,54.96463932,39.13043478,47.25083418,58.31301804,44.70954357,51.72153807
Tamil Nadu,30.3,30.3,30.3,30.3,30.3,30.3,41.44,38.28,39.92,30.3,30.3,30.3,30.3,30.3,30.3,14.0,8.52,11.31,30.3,30.3,30.3,30.3,3.13,1.06,54.75,62.39,58.54,0.29,0.42,0.35,9.09,8.22,8.67,37.56,30.28,34.06,17.97,17.97,17.97,14.64,13.09,13.89,21.97,10.81,16.61,17.97,17.97,17.97,29.94,25.66,27.97,35.93,17.97,19.88,48.03,48.03,48.03,48.03,48.03,48.03,41.0,35.0,38.1,48.03,48.03,48.03,48.03,48.03,48.03,42.8,36.3,39.7,48.03,48.03,48.03,48.03,48.03,48.03,68.4,64.4,66.6,17.63,17.63,17.63,7.769776627,8.229049871,7.991918572,28.19936405,23.58518445,25.94256911,17.63,0.256995064,17.63,17.63,17.63,17.63,28.85496592,17.63,10.72598781,4.362416107,17.63,17.63,5.600176037,17.63,17.63,34.22029703,29.23050139,31.8725426
Tripura,24.64,20.07,22.49,49.49,45.53,47.61,71.68,70.33,71.04,11.67,6.02,8.98,33.84,28.04,31.03,63.17,64.19,63.66,33.02,31.88,32.48,62.32,63.29,62.78,77.6,79.92,78.69,25.95,24.97,25.48,45.42,41.77,43.66,63.42,62.34,62.9,7.03,4.85,5.98,29.77,23.19,26.6,53.2,53.13,53.16,37.42,38.14,37.76,62.77,62.61,62.69,73.5,74.39,73.92,27.1,26.5,26.8,44.8,39.7,42.4,50.9,48.3,49.6,16.4,14.8,15.6,32.5,24.0,28.5,35.8,34.0,35.0,41.3,43.6,42.4,57.5,58.4,57.9,66.9,67.7,67.3,31.92560288,30.27871465,31.1319491,50.23458283,45.94384058,48.21411815,59.14099393,57.54232757,58.38317789,16.64854284,13.80119704,15.27911046,29.9119278,23.95125381,27.04303198,47.05882353,48.53604785,47.77354659,41.61319558,41.47973239,41.54920275,60.43128655,62.82387538,61.57756454,71.04743805,72.22199684,71.60408375
Uttar Pradesh,41.18,33.96,37.82,30.64,9.48,22.67,19.7,4.73,14.11,41.64,23.52,34.04,65.69,38.88,56.32,40.21,29.68,36.32,30.06,30.06,30.06,15.11,30.06,5.44,30.06,30.06,30.06,42.38,41.7,42.06,50.66,55.23,52.78,25.22,7.19,18.5,46.05,26.25,37.74,66.96,64.82,65.96,48.28,43.92,46.6,44.28,44.28,44.28,50.99,47.33,49.34,44.28,44.28,44.28,15.3,22.2,18.6,49.2,51.3,50.2,44.2,50.7,47.2,25.7,36.6,31.4,52.4,36.5,45.7,53.8,51.1,52.5,23.6,28.0,25.8,37.65,37.65,37.65,36.3,24.4,31.0,33.507054,34.76935721,34.09332999,49.30317345,50.24085831,49.73922271,29.76656776,14.43055721,23.99033899,33.83179625,15.0818033,25.95883257,65.96672509,44.7888957,58.74823094,60.91773499,50.39814732,57.23979192,37.94,37.94,37.94,27.94333592,13.80758463,22.22793928,37.94,37.94,37.94
Uttarakhand,35.84,31.82,33.9,24.74,27.08,25.91,33.31,39.64,36.46,34.98,33.84,34.42,41.73,49.96,45.82,45.17,69.33,57.67,21.21,10.16,15.99,22.86,35.36,29.33,19.63,37.09,28.45,33.82,31.33,32.62,32.69,28.72,30.77,38.49,45.91,42.17,32.75,29.34,31.09,42.25,41.6,41.93,38.18,60.43,50.1,30.44,19.31,25.19,33.05,33.9,33.48,35.82,35.82,35.82,35.7,33.7,34.8,41.1,40.2,40.7,35.1,37.4,36.2,33.1,29.7,31.5,43.2,41.4,42.3,43.0,48.1,45.5,50.6,40.4,46.0,47.7,42.8,45.4,34.3,35.4,34.8,33.50302626,32.16810739,32.86617626,33.66485136,29.29250966,31.55831765,31.78611349,41.34031353,36.57224617,29.85940926,25.50225843,27.75877732,36.62597739,37.37781365,36.99045024,45.35079859,55.03291058,50.15534548,21.53872515,9.904086739,16.29044394,33.9792523,29.19230006,31.60228616,34.13713567,37.68795157,35.97573306
West Bengal,30.75,28.83,29.81,60.88,57.69,59.33,70.42,73.77,72.0,22.8,22.4,22.61,60.19,59.33,59.78,77.99,77.32,77.68,50.54,49.21,49.91,77.25,73.54,75.69,88.87,83.55,87.12,24.55,16.15,20.52,52.85,47.98,50.46,72.89,70.7,71.83,23.5,19.18,21.42,54.59,54.3,54.45,74.81,76.15,75.46,44.27,39.76,42.17,65.41,67.37,66.37,86.33,82.65,84.91,27.6,20.8,24.3,46.2,37.8,42.1,62.6,58.5,60.6,19.5,17.3,18.4,39.1,35.4,37.3,64.9,65.1,65.0,38.3,36.7,37.6,62.5,59.7,61.2,73.3,74.4,73.8,29.82439986,26.99565335,28.43681128,50.3529555,47.7154229,49.06199059,64.89806743,63.50490091,64.22269832,25.89835366,25.99387778,25.94459357,49.98237206,51.87488645,50.9176106,68.47473436,63.65810196,66.15370825,31.3812236,24.8252277,28.26959493,49.37700112,46.89756742,48.16940148,77.30349547,70.9116115,74.61547695
Andaman and Nicobar Islands,13.61,10.05,11.89,13.66,16.91,15.22,26.78,26.19,26.5,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,18.06,27.35,22.65,21.81,29.51,25.82,28.78,28.27,28.53,6.85,2.98,4.98,10.38,12.89,11.61,32.7,27.07,30.06,18.04,18.04,18.04,18.04,18.04,18.04,18.04,18.04,18.04,0.73,8.79,4.76,12.38,11.98,12.19,52.54,36.4,45.37,8.1,7.2,7.7,12.2,13.5,12.8,17.5,21.4,19.4,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,17.75,2.9,17.75,1.2,27.2,31.9,29.5,32.3,27.1,29.9,8.396560445,7.099945385,7.773109244,13.23396567,17.10963455,15.12381393,19.04430527,23.28664332,21.08556986,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.91,17.91,1.694915254,17.91,0.214132762,23.00469484,27.02702703,24.87437186,28.66043614,34.95702006,31.94029851
Chandigarh,29.83,29.83,29.83,29.83,29.83,29.83,29.83,8.67,3.45,29.83,29.83,29.83,20.04,10.57,15.62,57.35,62.89,60.04,29.83,29.83,29.83,29.83,29.83,29.83,29.83,29.83,29.83,45.88,45.88,45.88,45.88,45.88,45.88,0.3,7.86,3.78,45.88,45.88,45.88,15.91,45.88,8.59,56.52,55.63,56.1,45.88,45.88,45.88,100.0,100.0,100.0,45.88,45.88,45.88,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,45.70637119,40.59196617,43.32183342,71.6,71.6,71.6,100.0,100.0,100.0,71.6,71.6,71.6
Dadra and Nagar Haveli,16.71,24.64,20.56,53.2,64.99,58.68,65.49,72.07,68.54,30.0,13.25,21.97,5.41,13.85,9.35,40.32,34.43,37.4,24.16,24.96,24.55,35.65,52.17,43.33,65.42,72.32,68.62,15.18,19.95,17.52,33.44,53.42,43.31,54.78,63.48,58.83,13.79,9.68,12.08,12.68,18.66,15.45,33.33,26.03,29.5,16.8,23.56,20.2,38.92,61.06,50.22,63.15,72.32,67.47,9.8,18.9,14.2,22.6,33.5,27.9,44.3,59.4,51.7,29.24,29.24,29.24,8.9,22.9,15.6,30.0,16.3,23.7,1.7,14.7,8.3,27.2,39.6,33.3,51.0,67.0,59.2,9.070990359,16.49438202,12.7357444,27.36744617,40.215311,33.68631604,51.68363352,58.26582658,54.74595198,16.86746988,11.11111111,14.59854015,15.38461538,11.76470588,13.53383459,32.43243243,23.07692308,28.05755396,1.267123288,21.28801431,11.97003507,34.20144336,48.81209503,41.56813939,60.17520216,66.79596587,63.25279481
Daman and Diu,32.93,32.93,32.93,4.29,14.89,9.32,34.52,30.95,32.87,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,32.93,57.75,55.22,56.56,1.66,4.27,2.85,9.31,12.28,10.7,41.15,29.75,35.93,4.0,19.71,0.71,19.71,19.71,19.71,19.71,19.71,19.71,8.0,7.65,7.84,1.38,28.44,14.69,62.37,53.11,58.14,2.2,6.7,4.3,14.6,9.4,12.3,26.4,23.3,25.0,14.95,8.1,14.95,14.95,14.95,14.95,14.95,14.95,14.95,14.95,12.8,5.2,17.5,12.6,15.2,24.8,24.2,24.5,8.503937008,7.980356047,8.262591964,13.14285714,8.31758034,10.84806713,26.65121669,30.16688062,28.31912302,6.593406593,13.62,1.840490798,13.62,13.62,13.62,13.62,13.62,13.62,1.990049751,7.881773399,4.95049505,10.55045872,33.6492891,21.91142191,13.62,13.62,13.62
Delhi,21.05,7.8,0.5,14.86,20.17,17.44,29.6,35.23,32.34,7.66,10.5,8.97,21.05,21.05,21.05,50.27,44.73,47.56,21.05,21.05,21.05,21.05,21.05,21.05,9.13,21.05,0.11,9.82,17.07,13.3,22.53,22.53,22.53,22.53,9.15,1.97,24.53,21.1,22.99,22.53,22.53,22.53,42.7,35.7,39.27,19.82,18.35,19.16,25.45,47.16,37.63,0.41,22.53,22.53,18.25,18.25,18.25,18.25,4.5,18.25,18.25,18.25,18.25,18.25,18.25,18.25,25.1,13.5,19.7,18.25,18.25,18.25,11.8,27.3,19.1,4.8,18.25,1.1,17.8,42.6,31.7,3.689107883,8.49769113,5.943126358,21.68,21.68,21.68,19.71169696,26.2990576,22.9035105,23.48978861,6.131718395,16.28287061,42.85804676,37.07012987,40.09490113,21.68,21.68,21.68,24.62365591,23.45844504,24.10501193,21.68,21.68,21.68,21.68,21.68,21.68
Lakshadweep,7.42,3.69,5.59,16.67,15.14,15.94,26.09,14.17,20.47,22.94,22.94,22.94,22.94,100.0,100.0,22.94,22.94,22.94,8.44,4.46,6.49,17.64,16.35,17.03,28.22,13.66,21.36,14.31,8.06,11.11,13.32,3.81,9.01,27.58,22.67,25.13,30.55,30.55,30.55,100.0,30.55,100.0,30.55,100.0,100.0,15.07,9.24,12.07,14.43,5.55,10.4,28.53,18.3,23.6,15.3,10.5,13.0,27.1,4.9,16.2,7.6,4.7,6.3,20.42,20.42,20.42,20.42,20.42,20.42,100.0,20.42,100.0,15.3,10.5,13.0,26.9,4.2,15.8,6.9,4.5,5.8,10.77762619,3.111111111,7.102272727,15.49707602,9.697933227,12.7189642,41.12709832,20.3187251,31.25393825,26.02,26.02,26.02,26.02,26.02,26.02,26.02,100.0,100.0,12.68758527,5.037037037,9.019886364,16.76557864,11.27214171,14.13127413,43.30900243,22.92225201,33.60969388
Puducherry,8.79,8.79,8.79,8.79,8.79,8.79,8.36,3.28,5.91,8.79,8.79,8.79,8.79,8.79,8.79,17.96,5.36,11.88,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,40.03,40.03,40.03,40.03,40.03,40.03,12.79,1.39,7.34,40.03,40.03,40.03,40.03,40.03,40.03,19.59,6.29,12.89,40.03,40.03,40.03,100.0,100.0,100.0,40.03,40.03,40.03,0.5,0.8,0.8,0.8,0.8,0.8,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,7.02,7.02,7.02,7.02,7.02,7.02,10.93898498,1.405560685,6.354531551,7.02,7.02,7.02,7.02,7.02,7.02,14.98666667,0.457404231,7.974613687,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02
INDIA,29.57,25.85,27.84,41.09,36.95,39.28,53.98,54.43,54.17,29.19,23.01,26.38,50.34,43.29,47.32,59.57,60.08,59.8,36.04,35.13,35.61,58.52,60.04,59.21,75.39,76.77,75.98,31.81,28.49,30.27,41.06,44.19,42.54,53.33,51.81,52.66,33.72,25.62,30.04,50.82,51.53,51.15,58.49,59.67,59.01,38.08,35.42,36.82,54.65,59.1,56.78,74.54,75.31,74.88,23.4,21.0,22.3,41.5,40.0,40.8,48.6,52.2,50.3,22.3,24.7,23.5,43.3,36.4,40.2,55.0,55.6,55.3,36.1,34.4,35.3,57.3,57.1,57.2,64.4,67.6,65.9,29.04589775,25.38725666,27.35388098,40.56191281,41.16891952,40.84694107,50.24745465,47.74637797,49.15168126,30.22317065,23.39828691,27.1086045,46.78180942,39.10579074,43.44964657,57.44550713,54.24422286,56.07588281,37.17168224,33.89680336,35.62571819,54.74072872,55.36916601,55.03640569,70.62498786,71.31612924,70.93832577
